question_id,course_code,intent,difficulty,english_question,bangla_question,banglish_question,ground_truth_answer_en,ground_truth_answer_bn,ground_truth_answer_banglish,expected_source,expected_page,ground_truth_status,notes
Q054,EEE 222,course_credit,medium,How many credits is EEE 222 Electrical & Electronic Engineering II Lab?,EEE 222 Electrical & Electronic Engineering II Lab কোর্সটির ক্রেডিট কত?,EEE 222 Electrical & Electronic Engineering II Lab course-er credit koto?,EEE 222 Electrical & Electronic Engineering II Lab is a 1.50-credit course.,EEE 222 Electrical & Electronic Engineering II Lab 1.50 ক্রেডিটের কোর্স।,EEE 222 Electrical & Electronic Engineering II Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q055,MTH 203,course_credit,medium,How many credits is MTH 203 Probability & Statistics?,MTH 203 Probability & Statistics কোর্সটির ক্রেডিট কত?,MTH 203 Probability & Statistics course-er credit koto?,MTH 203 Probability & Statistics is a 3.00-credit course.,MTH 203 Probability & Statistics 3.00 ক্রেডিটের কোর্স।,MTH 203 Probability & Statistics 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q056,CSE 207,course_credit,medium,How many credits is CSE 207 Algorithms?,CSE 207 Algorithms কোর্সটির ক্রেডিট কত?,CSE 207 Algorithms course-er credit koto?,CSE 207 Algorithms is a 3.00-credit course.,CSE 207 Algorithms 3.00 ক্রেডিটের কোর্স।,CSE 207 Algorithms 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q057,CSE 208,course_credit,medium,How many credits is CSE 208 Algorithms Lab?,CSE 208 Algorithms Lab কোর্সটির ক্রেডিট কত?,CSE 208 Algorithms Lab course-er credit koto?,CSE 208 Algorithms Lab is a 1.50-credit course.,CSE 208 Algorithms Lab 1.50 ক্রেডিটের কোর্স।,CSE 208 Algorithms Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q058,CSE 209,course_credit,medium,How many credits is CSE 209 Digital Logic & System Design?,CSE 209 Digital Logic & System Design কোর্সটির ক্রেডিট কত?,CSE 209 Digital Logic & System Design course-er credit koto?,CSE 209 Digital Logic & System Design is a 4.00-credit course.,CSE 209 Digital Logic & System Design 4.00 ক্রেডিটের কোর্স।,CSE 209 Digital Logic & System Design 4.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q059,CSE 210,course_credit,medium,How many credits is CSE 210 Digital Logic & System Design Lab?,CSE 210 Digital Logic & System Design Lab কোর্সটির ক্রেডিট কত?,CSE 210 Digital Logic & System Design Lab course-er credit koto?,CSE 210 Digital Logic & System Design Lab is a 1.50-credit course.,CSE 210 Digital Logic & System Design Lab 1.50 ক্রেডিটের কোর্স।,CSE 210 Digital Logic & System Design Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q060,CSE 211,course_credit,medium,How many credits is CSE 211 Database Systems?,CSE 211 Database Systems কোর্সটির ক্রেডিট কত?,CSE 211 Database Systems course-er credit koto?,CSE 211 Database Systems is a 3.00-credit course.,CSE 211 Database Systems 3.00 ক্রেডিটের কোর্স।,CSE 211 Database Systems 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q061,CSE 212,course_credit,medium,How many credits is CSE 212 Database Systems Lab?,CSE 212 Database Systems Lab কোর্সটির ক্রেডিট কত?,CSE 212 Database Systems Lab course-er credit koto?,CSE 212 Database Systems Lab is a 1.50-credit course.,CSE 212 Database Systems Lab 1.50 ক্রেডিটের কোর্স।,CSE 212 Database Systems Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q062,MTH 205,course_credit,medium,How many credits is MTH 205 Math IV: Differential Equations and Fourier and Laplace Transformations?,MTH 205 Math IV: Differential Equations and Fourier and Laplace Transformations কোর্সটির ক্রেডিট কত?,MTH 205 Math IV: Differential Equations and Fourier and Laplace Transformations course-er credit koto?,MTH 205 Math IV: Differential Equations and Fourier and Laplace Transformations is a 3.00-credit course.,MTH 205 Math IV: Differential Equations and Fourier and Laplace Transformations 3.00 ক্রেডিটের কোর্স।,MTH 205 Math IV: Differential Equations and Fourier and Laplace Transformations 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q063,ECN 201,course_credit,medium,How many credits is ECN 201 Economics?,ECN 201 Economics কোর্সটির ক্রেডিট কত?,ECN 201 Economics course-er credit koto?,ECN 201 Economics is a 2.00-credit course.,ECN 201 Economics 2.00 ক্রেডিটের কোর্স।,ECN 201 Economics 2.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q064,CSE 303,course_credit,medium,How many credits is CSE 303 Data Communications?,CSE 303 Data Communications কোর্সটির ক্রেডিট কত?,CSE 303 Data Communications course-er credit koto?,CSE 303 Data Communications is a 3.00-credit course.,CSE 303 Data Communications 3.00 ক্রেডিটের কোর্স।,CSE 303 Data Communications 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q065,CSE 304,course_credit,medium,How many credits is CSE 304 Data Communications Lab?,CSE 304 Data Communications Lab কোর্সটির ক্রেডিট কত?,CSE 304 Data Communications Lab course-er credit koto?,CSE 304 Data Communications Lab is a 0.75-credit course.,CSE 304 Data Communications Lab 0.75 ক্রেডিটের কোর্স।,CSE 304 Data Communications Lab 0.75-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q066,CSE 305,course_credit,medium,How many credits is CSE 305 System Analysis and Design?,CSE 305 System Analysis and Design কোর্সটির ক্রেডিট কত?,CSE 305 System Analysis and Design course-er credit koto?,CSE 305 System Analysis and Design is a 3.00-credit course.,CSE 305 System Analysis and Design 3.00 ক্রেডিটের কোর্স।,CSE 305 System Analysis and Design 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q067,CSE 306,course_credit,medium,How many credits is CSE 306 System Analysis & Design Lab?,CSE 306 System Analysis & Design Lab কোর্সটির ক্রেডিট কত?,CSE 306 System Analysis & Design Lab course-er credit koto?,CSE 306 System Analysis & Design Lab is a 0.75-credit course.,CSE 306 System Analysis & Design Lab 0.75 ক্রেডিটের কোর্স।,CSE 306 System Analysis & Design Lab 0.75-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q068,CSE 307,course_credit,medium,How many credits is CSE 307 Theory of Computation?,CSE 307 Theory of Computation কোর্সটির ক্রেডিট কত?,CSE 307 Theory of Computation course-er credit koto?,CSE 307 Theory of Computation is a 3.00-credit course.,CSE 307 Theory of Computation 3.00 ক্রেডিটের কোর্স।,CSE 307 Theory of Computation 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q069,CSE 309,course_credit,medium,How many credits is CSE 309 Object Oriented Programming II: Visual and Web Programming?,CSE 309 Object Oriented Programming II: Visual and Web Programming কোর্সটির ক্রেডিট কত?,CSE 309 Object Oriented Programming II: Visual and Web Programming course-er credit koto?,CSE 309 Object Oriented Programming II: Visual and Web Programming is a 3.00-credit course.,CSE 309 Object Oriented Programming II: Visual and Web Programming 3.00 ক্রেডিটের কোর্স।,CSE 309 Object Oriented Programming II: Visual and Web Programming 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q070,CSE 310,course_credit,medium,How many credits is CSE 310 Object Oriented Programming II Lab: Visual and Web Programming Lab?,CSE 310 Object Oriented Programming II Lab: Visual and Web Programming Lab কোর্সটির ক্রেডিট কত?,CSE 310 Object Oriented Programming II Lab: Visual and Web Programming Lab course-er credit koto?,CSE 310 Object Oriented Programming II Lab: Visual and Web Programming Lab is a 1.50-credit course.,CSE 310 Object Oriented Programming II Lab: Visual and Web Programming Lab 1.50 ক্রেডিটের কোর্স।,CSE 310 Object Oriented Programming II Lab: Visual and Web Programming Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q071,CSE 311,course_credit,medium,How many credits is CSE 311 Microprocessors & Assembly Language?,CSE 311 Microprocessors & Assembly Language কোর্সটির ক্রেডিট কত?,CSE 311 Microprocessors & Assembly Language course-er credit koto?,CSE 311 Microprocessors & Assembly Language is a 3.00-credit course.,CSE 311 Microprocessors & Assembly Language 3.00 ক্রেডিটের কোর্স।,CSE 311 Microprocessors & Assembly Language 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,53,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q072,CSE 312,course_credit,medium,How many credits is CSE 312 Microprocessors & Assembly Lab?,CSE 312 Microprocessors & Assembly Lab কোর্সটির ক্রেডিট কত?,CSE 312 Microprocessors & Assembly Lab course-er credit koto?,CSE 312 Microprocessors & Assembly Lab is a 1.50-credit course.,CSE 312 Microprocessors & Assembly Lab 1.50 ক্রেডিটের কোর্স।,CSE 312 Microprocessors & Assembly Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,54,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q073,HSS 301,course_credit,medium,How many credits is HSS 301 English II: English for Communications?,HSS 301 English II: English for Communications কোর্সটির ক্রেডিট কত?,HSS 301 English II: English for Communications course-er credit koto?,HSS 301 English II: English for Communications is a 2.00-credit course.,HSS 301 English II: English for Communications 2.00 ক্রেডিটের কোর্স।,HSS 301 English II: English for Communications 2.00-credit course.,curricula_BSc-Curriculum-New.pdf,54,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q074,CSE 313,course_credit,medium,How many credits is CSE 313 Numerical Methods?,CSE 313 Numerical Methods কোর্সটির ক্রেডিট কত?,CSE 313 Numerical Methods course-er credit koto?,CSE 313 Numerical Methods is a 3.00-credit course.,CSE 313 Numerical Methods 3.00 ক্রেডিটের কোর্স।,CSE 313 Numerical Methods 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,54,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q075,CSE 314,course_credit,medium,How many credits is CSE 314 Numerical Methods Lab?,CSE 314 Numerical Methods Lab কোর্সটির ক্রেডিট কত?,CSE 314 Numerical Methods Lab course-er credit koto?,CSE 314 Numerical Methods Lab is a 0.75-credit course.,CSE 314 Numerical Methods Lab 0.75 ক্রেডিটের কোর্স।,CSE 314 Numerical Methods Lab 0.75-credit course.,curricula_BSc-Curriculum-New.pdf,54,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q076,CSE 315,course_credit,medium,How many credits is CSE 315 Peripheral & Interfacing?,CSE 315 Peripheral & Interfacing কোর্সটির ক্রেডিট কত?,CSE 315 Peripheral & Interfacing course-er credit koto?,CSE 315 Peripheral & Interfacing is a 3.00-credit course.,CSE 315 Peripheral & Interfacing 3.00 ক্রেডিটের কোর্স।,CSE 315 Peripheral & Interfacing 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,54,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q077,CSE 316,course_credit,medium,How many credits is CSE 316 Peripheral & Interfacing Lab?,CSE 316 Peripheral & Interfacing Lab কোর্সটির ক্রেডিট কত?,CSE 316 Peripheral & Interfacing Lab course-er credit koto?,CSE 316 Peripheral & Interfacing Lab is a 1.50-credit course.,CSE 316 Peripheral & Interfacing Lab 1.50 ক্রেডিটের কোর্স।,CSE 316 Peripheral & Interfacing Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,54,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q078,CSE 317,course_credit,medium,How many credits is CSE 317 Computer Architecture?,CSE 317 Computer Architecture কোর্সটির ক্রেডিট কত?,CSE 317 Computer Architecture course-er credit koto?,CSE 317 Computer Architecture is a 3.00-credit course.,CSE 317 Computer Architecture 3.00 ক্রেডিটের কোর্স।,CSE 317 Computer Architecture 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,54,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q079,CSE 319,course_credit,medium,How many credits is CSE 319 Computer Networks?,CSE 319 Computer Networks কোর্সটির ক্রেডিট কত?,CSE 319 Computer Networks course-er credit koto?,CSE 319 Computer Networks is a 3.00-credit course.,CSE 319 Computer Networks 3.00 ক্রেডিটের কোর্স।,CSE 319 Computer Networks 3.00-credit course.,curricula_BSc-Curriculum-New.pdf,54,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q080,CSE 320,course_credit,medium,How many credits is CSE 320 Computer Networks Lab?,CSE 320 Computer Networks Lab কোর্সটির ক্রেডিট কত?,CSE 320 Computer Networks Lab course-er credit koto?,CSE 320 Computer Networks Lab is a 1.50-credit course.,CSE 320 Computer Networks Lab 1.50 ক্রেডিটের কোর্স।,CSE 320 Computer Networks Lab 1.50-credit course.,curricula_BSc-Curriculum-New.pdf,54,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q081,CSE 101,prerequisite,medium,What prerequisite is listed for CSE 101 Introduction to Computer Science & Programming Methodology?,CSE 101 Introduction to Computer Science & Programming Methodology কোর্সের prerequisite কী দেওয়া আছে?,CSE 101 Introduction to Computer Science & Programming Methodology course-er prerequisite ki deya ache?,No prerequisite is listed for CSE 101 Introduction to Computer Science & Programming Methodology.,CSE 101 Introduction to Computer Science & Programming Methodology কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,CSE 101 Introduction to Computer Science & Programming Methodology course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q082,CSE 102,prerequisite,medium,What prerequisite is listed for CSE 102 Introduction to Computer Sc. & Programming Methodology Lab?,CSE 102 Introduction to Computer Sc. & Programming Methodology Lab কোর্সের prerequisite কী দেওয়া আছে?,CSE 102 Introduction to Computer Sc. & Programming Methodology Lab course-er prerequisite ki deya ache?,No prerequisite is listed for CSE 102 Introduction to Computer Sc. & Programming Methodology Lab.,CSE 102 Introduction to Computer Sc. & Programming Methodology Lab কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,CSE 102 Introduction to Computer Sc. & Programming Methodology Lab course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q083,HSS 101,prerequisite,medium,What prerequisite is listed for HSS 101 English I: Written and Spoken English?,HSS 101 English I: Written and Spoken English কোর্সের prerequisite কী দেওয়া আছে?,HSS 101 English I: Written and Spoken English course-er prerequisite ki deya ache?,No prerequisite is listed for HSS 101 English I: Written and Spoken English.,HSS 101 English I: Written and Spoken English কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,HSS 101 English I: Written and Spoken English course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q084,HSS 111,prerequisite,medium,What prerequisite is listed for HSS 111(A) Bangladesh Studies: Society and Culture?,HSS 111(A) Bangladesh Studies: Society and Culture কোর্সের prerequisite কী দেওয়া আছে?,HSS 111(A) Bangladesh Studies: Society and Culture course-er prerequisite ki deya ache?,No prerequisite is listed for HSS 111(A) Bangladesh Studies: Society and Culture.,HSS 111(A) Bangladesh Studies: Society and Culture কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,HSS 111(A) Bangladesh Studies: Society and Culture course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q085,HSS 111,prerequisite,medium,What prerequisite is listed for HSS 111(B) Bangladesh Studies: Bangladesh History?,HSS 111(B) Bangladesh Studies: Bangladesh History কোর্সের prerequisite কী দেওয়া আছে?,HSS 111(B) Bangladesh Studies: Bangladesh History course-er prerequisite ki deya ache?,No prerequisite is listed for HSS 111(B) Bangladesh Studies: Bangladesh History.,HSS 111(B) Bangladesh Studies: Bangladesh History কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,HSS 111(B) Bangladesh Studies: Bangladesh History course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q086,PHY 101,prerequisite,medium,What prerequisite is listed for PHY 101 Physics?,PHY 101 Physics কোর্সের prerequisite কী দেওয়া আছে?,PHY 101 Physics course-er prerequisite ki deya ache?,No prerequisite is listed for PHY 101 Physics.,PHY 101 Physics কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,PHY 101 Physics course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q087,PHY 102,prerequisite,medium,What prerequisite is listed for PHY 102 Physics Lab?,PHY 102 Physics Lab কোর্সের prerequisite কী দেওয়া আছে?,PHY 102 Physics Lab course-er prerequisite ki deya ache?,No prerequisite is listed for PHY 102 Physics Lab.,PHY 102 Physics Lab কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,PHY 102 Physics Lab course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q088,MTH 101,prerequisite,medium,"What prerequisite is listed for MTH 101 Math I: Basic Calculus, Co-ordinate Geometry?","MTH 101 Math I: Basic Calculus, Co-ordinate Geometry কোর্সের prerequisite কী দেওয়া আছে?","MTH 101 Math I: Basic Calculus, Co-ordinate Geometry course-er prerequisite ki deya ache?","No prerequisite is listed for MTH 101 Math I: Basic Calculus, Co-ordinate Geometry.","MTH 101 Math I: Basic Calculus, Co-ordinate Geometry কোর্সের জন্য কোনো prerequisite দেওয়া নেই।","MTH 101 Math I: Basic Calculus, Co-ordinate Geometry course-er jonno kono prerequisite deya nei.",curricula_BSc-Curriculum-New.pdf,51,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q089,CSE 103,prerequisite,medium,What prerequisite is listed for CSE 103 Structured Programming?,CSE 103 Structured Programming কোর্সের prerequisite কী দেওয়া আছে?,CSE 103 Structured Programming course-er prerequisite ki deya ache?,The listed prerequisite for CSE 103 Structured Programming is CSE 101.,CSE 103 Structured Programming কোর্সের prerequisite হিসেবে CSE 101 দেওয়া আছে।,CSE 103 Structured Programming course-er prerequisite hisebe CSE 101 deya ache.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q090,CSE 104,prerequisite,medium,What prerequisite is listed for CSE 104 Structured Programming Lab?,CSE 104 Structured Programming Lab কোর্সের prerequisite কী দেওয়া আছে?,CSE 104 Structured Programming Lab course-er prerequisite ki deya ache?,No prerequisite is listed for CSE 104 Structured Programming Lab.,CSE 104 Structured Programming Lab কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,CSE 104 Structured Programming Lab course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q091,CSE 105,prerequisite,medium,What prerequisite is listed for CSE 105 Discrete Mathematics?,CSE 105 Discrete Mathematics কোর্সের prerequisite কী দেওয়া আছে?,CSE 105 Discrete Mathematics course-er prerequisite ki deya ache?,No prerequisite is listed for CSE 105 Discrete Mathematics.,CSE 105 Discrete Mathematics কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,CSE 105 Discrete Mathematics course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q092,EEE 121,prerequisite,medium,What prerequisite is listed for EEE 121 Electrical & Electronic Engineering I?,EEE 121 Electrical & Electronic Engineering I কোর্সের prerequisite কী দেওয়া আছে?,EEE 121 Electrical & Electronic Engineering I course-er prerequisite ki deya ache?,No prerequisite is listed for EEE 121 Electrical & Electronic Engineering I.,EEE 121 Electrical & Electronic Engineering I কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,EEE 121 Electrical & Electronic Engineering I course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q093,EEE 122,prerequisite,medium,What prerequisite is listed for EEE 122 Electrical & Electronic Engineering I Lab?,EEE 122 Electrical & Electronic Engineering I Lab কোর্সের prerequisite কী দেওয়া আছে?,EEE 122 Electrical & Electronic Engineering I Lab course-er prerequisite ki deya ache?,No prerequisite is listed for EEE 122 Electrical & Electronic Engineering I Lab.,EEE 122 Electrical & Electronic Engineering I Lab কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,EEE 122 Electrical & Electronic Engineering I Lab course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q094,MTH 103,prerequisite,medium,What prerequisite is listed for MTH 103 Math II: Linear Algebra?,MTH 103 Math II: Linear Algebra কোর্সের prerequisite কী দেওয়া আছে?,MTH 103 Math II: Linear Algebra course-er prerequisite ki deya ache?,No prerequisite is listed for MTH 103 Math II: Linear Algebra.,MTH 103 Math II: Linear Algebra কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,MTH 103 Math II: Linear Algebra course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q095,CHEM 111,prerequisite,medium,What prerequisite is listed for CHEM 111 Chemistry?,CHEM 111 Chemistry কোর্সের prerequisite কী দেওয়া আছে?,CHEM 111 Chemistry course-er prerequisite ki deya ache?,No prerequisite is listed for CHEM 111 Chemistry.,CHEM 111 Chemistry কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,CHEM 111 Chemistry course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q096,CHEM 112,prerequisite,medium,What prerequisite is listed for CHEM 112 Chemistry Lab?,CHEM 112 Chemistry Lab কোর্সের prerequisite কী দেওয়া আছে?,CHEM 112 Chemistry Lab course-er prerequisite ki deya ache?,No prerequisite is listed for CHEM 112 Chemistry Lab.,CHEM 112 Chemistry Lab কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,CHEM 112 Chemistry Lab course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q097,CSE 203,prerequisite,medium,What prerequisite is listed for CSE 203 Object Oriented Programming I: Java?,CSE 203 Object Oriented Programming I: Java কোর্সের prerequisite কী দেওয়া আছে?,CSE 203 Object Oriented Programming I: Java course-er prerequisite ki deya ache?,The listed prerequisite for CSE 203 Object Oriented Programming I: Java is CSE 103.,CSE 203 Object Oriented Programming I: Java কোর্সের prerequisite হিসেবে CSE 103 দেওয়া আছে।,CSE 203 Object Oriented Programming I: Java course-er prerequisite hisebe CSE 103 deya ache.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q098,CSE 204,prerequisite,medium,What prerequisite is listed for CSE 204 Object Oriented Programming I Lab: Java Lab?,CSE 204 Object Oriented Programming I Lab: Java Lab কোর্সের prerequisite কী দেওয়া আছে?,CSE 204 Object Oriented Programming I Lab: Java Lab course-er prerequisite ki deya ache?,No prerequisite is listed for CSE 204 Object Oriented Programming I Lab: Java Lab.,CSE 204 Object Oriented Programming I Lab: Java Lab কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,CSE 204 Object Oriented Programming I Lab: Java Lab course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q099,CSE 205,prerequisite,medium,What prerequisite is listed for CSE 205 Data Structures?,CSE 205 Data Structures কোর্সের prerequisite কী দেওয়া আছে?,CSE 205 Data Structures course-er prerequisite ki deya ache?,"The listed prerequisite for CSE 205 Data Structures is CSE 101, CSE 103, CSE 105.","CSE 205 Data Structures কোর্সের prerequisite হিসেবে CSE 101, CSE 103, CSE 105 দেওয়া আছে।","CSE 205 Data Structures course-er prerequisite hisebe CSE 101, CSE 103, CSE 105 deya ache.",curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q100,CSE 206,prerequisite,medium,What prerequisite is listed for CSE 206 Data Structures Lab?,CSE 206 Data Structures Lab কোর্সের prerequisite কী দেওয়া আছে?,CSE 206 Data Structures Lab course-er prerequisite ki deya ache?,No prerequisite is listed for CSE 206 Data Structures Lab.,CSE 206 Data Structures Lab কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,CSE 206 Data Structures Lab course-er jonno kono prerequisite deya nei.,curricula_BSc-Curriculum-New.pdf,52,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
